Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,20.0,20.0,19.25,19.25,16.55460548400879,1320
2017-06-29,19.0,19.0,18.75,19.0,16.33961296081543,680
2017-06-30,20.0,20.0,18.75,18.75,16.124610900878906,4160
2017-07-03,19.0,19.0,18.75,19.0,16.33961296081543,640
2017-07-05,18.75,19.799999237060547,18.75,19.25,16.55460548400879,1740
2017-07-06,19.25,19.25,18.5,19.0,16.33961296081543,1160
2017-07-07,19.25,19.25,19.0,19.25,16.55460548400879,460
2017-07-10,19.5,19.5,18.600000381469727,18.75,16.124610900878906,1680
2017-07-11,19.049999237060547,19.75,19.0,19.5,16.769594192504883,1680
2017-07-12,19.0,19.5,18.75,18.75,16.124610900878906,1340
2017-07-13,19.200000762939453,19.200000762939453,19.0,19.049999237060547,16.382606506347656,1280
2017-07-14,19.0,19.25,18.75,18.899999618530273,16.253612518310547,400
2017-07-17,18.75,19.0,18.75,18.75,16.124610900878906,3340
2017-07-18,19.0,19.049999237060547,18.75,19.0,16.33961296081543,2140
2017-07-19,18.5,18.5,17.5,18.149999618530273,15.608625411987305,7300
2017-07-20,17.5,18.0,17.5,17.75,15.264636993408203,5300
2017-07-21,18.25,18.25,17.350000381469727,17.5,15.049640655517578,2740
2017-07-24,18.0,18.5,18.0,18.0,15.479632377624512,1540
2017-07-25,18.25,18.75,18.0,18.0,15.479632377624512,2380
2017-07-26,18.5,18.75,18.5,18.75,16.124610900878906,1740
2017-07-27,18.75,18.899999618530273,18.5,18.5,15.909621238708496,1960
2017-07-28,17.75,19.25,17.5,19.25,16.55460548400879,2620
2017-07-31,17.5,19.25,17.5,17.75,15.264636993408203,3920
2017-08-01,18.25,18.5,17.75,17.75,15.264636993408203,560
2017-08-02,18.25,18.75,17.25,17.75,15.264636993408203,6320
2017-08-03,17.75,18.0,17.25,17.25,14.83464241027832,1340
2017-08-04,17.75,18.25,17.0,17.0,14.619650840759277,6500
2017-08-07,17.0,17.5,17.0,17.5,15.049640655517578,6580
2017-08-08,17.0,18.0,17.0,17.0,14.619650840759277,1240
2017-08-09,17.0,17.5,17.0,17.0,14.619650840759277,2300
2017-08-10,17.5,17.75,17.0,17.0,14.619650840759277,4740
2017-08-11,17.25,17.5,17.25,17.25,14.83464241027832,740
2017-08-14,17.0,18.0,17.0,18.0,15.479632377624512,520
2017-08-15,17.25,18.0,17.25,17.25,14.83464241027832,360
2017-08-16,17.5,17.5,17.25,17.25,14.83464241027832,200
2017-08-17,17.75,17.75,17.25,17.25,14.83464241027832,2000
2017-08-18,17.25,18.0,17.25,18.0,15.479632377624512,420
2017-08-21,17.25,17.25,17.25,17.25,14.83464241027832,20
2017-08-22,17.25,18.0,17.25,17.25,14.83464241027832,1080
2017-08-23,17.299999237060547,17.75,17.0,17.5,15.049640655517578,9640
2017-08-24,17.25,18.75,17.25,18.75,16.124610900878906,4360
2017-08-25,18.75,20.25,18.75,19.25,16.55460548400879,5160
2017-08-28,19.75,20.5,19.149999618530273,19.5,16.769594192504883,1920
2017-08-29,20.0,20.25,19.700000762939453,20.25,17.414587020874023,4080
2017-08-30,20.450000762939453,21.0,20.25,21.0,18.059568405151367,920
2017-08-31,21.25,21.25,19.5,19.5,16.769594192504883,2180
2017-09-01,20.5,21.25,20.200000762939453,21.25,18.274566650390625,7900
