,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,BN,IX,BN,IX,BN,IX,BN,IX,BN,IX,BN,IX
Date,,,,,,,,,,,,
2017-06-28,20.006620407104492,79.29000091552734,21.606035232543945,79.29000091552734,21.606035232543945,79.41999816894531,21.228778839111328,78.68000030517578,21.471302032470703,79.0999984741211,2612544,26400
2017-06-29,19.7620849609375,78.9000015258789,21.341955184936523,78.9000015258789,21.595256805419922,79.63999938964844,21.061708450317383,78.5999984741211,21.57908821105957,79.54000091552734,2274843,28800
2017-06-30,19.567462921142578,77.93000030517578,21.13176918029785,77.93000030517578,21.40662956237793,78.11000061035156,20.980867385864258,77.69999694824219,21.40662956237793,78.08000183105469,2216395,46400
2017-07-03,19.562469482421875,78.36000061035156,21.126380920410156,78.36000061035156,21.304231643676758,78.61000061035156,21.115602493286133,78.13999938964844,21.255725860595703,78.37000274658203,444021,48500
2017-07-05,19.472639083862305,80.4800033569336,21.02937126159668,80.4800033569336,21.09943389892578,80.4800033569336,20.662893295288086,80.01000213623047,21.072486877441406,80.25,1425395,47600
2017-07-06,19.402780532836914,79.79000091552734,20.953920364379883,79.79000091552734,21.056318283081055,80.13999938964844,20.85152244567871,79.68000030517578,20.937753677368164,79.95999908447266,1255988,24900
2017-07-07,19.407773971557617,78.5199966430664,20.95931053161621,78.5199966430664,21.250337600708008,78.69999694824219,20.754514694213867,78.1500015258789,21.01320457458496,78.3499984741211,1535241,63500
2017-07-10,19.402780532836914,78.38999938964844,20.953920364379883,78.38999938964844,21.018592834472656,78.5,20.873079299926758,78.1500015258789,20.96470069885254,78.23999786376953,660187,58800
2017-07-11,19.442699432373047,78.79000091552734,20.99703598022461,78.79000091552734,21.023983001708984,78.79000091552734,20.776071548461914,78.26000213623047,20.97547721862793,78.37999725341797,1218321,50300
2017-07-12,19.65229606628418,78.5,21.223390579223633,78.5,21.341955184936523,78.6500015258789,21.126380920410156,78.27999877929688,21.212610244750977,78.55000305175781,901773,47200
2017-07-13,19.51256561279297,78.11000061035156,21.072486877441406,78.11000061035156,21.218000411987305,78.11000061035156,21.04553985595703,77.72000122070312,21.218000411987305,77.88999938964844,877652,14400
2017-07-14,19.692218780517578,77.69999694824219,21.266504287719727,77.69999694824219,21.35273551940918,77.94000244140625,21.115602493286133,77.5199966430664,21.13176918029785,77.94000244140625,1018113,25900
2017-07-17,19.472639083862305,77.69000244140625,21.02937126159668,77.69000244140625,21.26111602783203,77.91999816894531,21.007814407348633,77.61000061035156,21.26111602783203,77.66999816894531,885816,17300
2017-07-18,19.522546768188477,78.9000015258789,21.08326530456543,78.9000015258789,21.1856632232666,79.05000305175781,20.95931053161621,78.72000122070312,21.04553985595703,78.88999938964844,723088,20400
2017-07-19,19.816978454589844,78.33999633789062,21.4012393951416,78.33999633789062,21.433576583862305,78.36000061035156,21.15332794189453,78.12000274658203,21.180274963378906,78.12000274658203,870230,15100
2017-07-20,19.90680694580078,78.91999816894531,21.498247146606445,78.91999816894531,21.53058433532715,79.11000061035156,21.35273551940918,78.70999908447266,21.482080459594727,78.98999786376953,877280,19600
2017-07-21,19.797021865844727,79.01000213623047,21.379682540893555,79.01000213623047,21.503637313842773,79.06999969482422,21.282672882080078,78.7300033569336,21.482080459594727,78.76000213623047,1169522,19600
2017-07-24,19.747114181518555,79.30000305175781,21.325788497924805,79.30000305175781,21.417407989501953,79.30999755859375,21.218000411987305,78.83999633789062,21.417407989501953,79.04000091552734,783207,27400
2017-07-25,19.487619400024414,79.22000122070312,21.04553985595703,79.22000122070312,21.45513343811035,79.38999938964844,21.007814407348633,79.12999725341797,21.282672882080078,79.29000091552734,1020154,59600
2017-07-26,19.567462921142578,78.77999877929688,21.13176918029785,78.77999877929688,21.212610244750977,78.98999786376953,20.94314193725586,78.45999908447266,21.06709861755371,78.63999938964844,1735635,68000
2017-07-27,19.233102798461914,79.22000122070312,20.770681381225586,79.22000122070312,21.201831817626953,79.48999786376953,20.60361099243164,79.12999725341797,21.142549514770508,79.48999786376953,1442466,72900
2017-07-28,19.31295394897461,79.4000015258789,20.85691261291504,79.4000015258789,20.926973342895508,79.4000015258789,20.69523048400879,78.9800033569336,20.873079299926758,78.9800033569336,1082499,61500
2017-07-31,19.407773971557617,82.83000183105469,20.95931053161621,82.83000183105469,21.034761428833008,83.70999908447266,20.808406829833984,80.44000244140625,20.92158317565918,80.44999694824219,954284,94300
2017-08-01,19.332914352416992,82.25,20.878469467163086,82.25,21.094045639038086,82.61000061035156,20.69523048400879,82.25,20.99164581298828,82.61000061035156,1793712,26200
2017-08-02,19.327919006347656,82.93000030517578,20.873079299926758,82.93000030517578,20.95931053161621,83.37000274658203,20.759902954101562,82.70999908447266,20.894638061523438,83.27999877929688,2193758,30400
2017-08-03,19.2181339263916,83.75,20.754514694213867,83.75,20.953920364379883,84.06999969482422,20.754514694213867,83.5199966430664,20.88924789428711,83.5199966430664,2978820,27100
2017-08-04,19.302968978881836,83.47000122070312,20.846132278442383,83.47000122070312,20.932363510131836,83.52999877929688,20.74912452697754,83.22000122070312,20.808406829833984,83.52999877929688,1178057,14200
2017-08-07,19.292985916137695,83.1500015258789,20.83535385131836,83.1500015258789,20.926973342895508,83.26000213623047,20.759902954101562,82.80000305175781,20.840744018554688,83.0199966430664,522694,14800
2017-08-08,19.322935104370117,82.80000305175781,20.867691040039062,82.80000305175781,20.900026321411133,82.91999816894531,20.679061889648438,82.63999938964844,20.776071548461914,82.63999938964844,1469556,12000
2017-08-09,19.457672119140625,82.7300033569336,21.01320457458496,82.7300033569336,21.034761428833008,82.80999755859375,20.468875885009766,82.44999694824219,20.765291213989258,82.80999755859375,3257887,14900
2017-08-10,19.16323471069336,81.51000213623047,20.69523048400879,81.51000213623047,21.09943389892578,82.51000213623047,20.652114868164062,81.31999969482422,20.97547721862793,82.2699966430664,1930462,22200
2017-08-11,19.083385467529297,81.52999877929688,20.608999252319336,81.52999877929688,20.700620651245117,81.75,20.436540603637695,80.5,20.436540603637695,81.37000274658203,1265265,40600
2017-08-14,19.3828125,81.9800033569336,20.932363510131836,81.9800033569336,20.986257553100586,82.2699966430664,20.614389419555664,81.91999816894531,20.706008911132812,82.02999877929688,1378637,17500
2017-08-15,19.37282943725586,81.62999725341797,20.92158317565918,81.62999725341797,20.986257553100586,81.8499984741211,20.85691261291504,81.54000091552734,20.948530197143555,81.79000091552734,1012546,13000
2017-08-16,19.517559051513672,81.37000274658203,21.077877044677734,81.37000274658203,21.158716201782227,81.52999877929688,20.99703598022461,81.26000213623047,20.99703598022461,81.2699966430664,1379008,19800
2017-08-17,19.3828125,80.7300033569336,20.932363510131836,80.7300033569336,21.147939682006836,81.23999786376953,20.932363510131836,80.7300033569336,21.02937126159668,81.2300033569336,1074706,14200
2017-08-18,19.52754020690918,81.31999969482422,21.088655471801758,81.31999969482422,21.169496536254883,81.52999877929688,20.808406829833984,80.69000244140625,20.937753677368164,81.0999984741211,1419829,34600
2017-08-21,19.517559051513672,81.19000244140625,21.077877044677734,81.19000244140625,21.115602493286133,81.23999786376953,20.92158317565918,80.95999908447266,21.072486877441406,81.23999786376953,802875,28200
2017-08-22,19.577442169189453,81.06999969482422,21.142549514770508,81.06999969482422,21.19105339050293,81.25,21.077877044677734,80.77999877929688,21.142549514770508,80.95999908447266,590235,44000
2017-08-23,19.602397918701172,80.7300033569336,21.169496536254883,80.7300033569336,21.282672882080078,80.80000305175781,20.986257553100586,80.55000305175781,21.072486877441406,80.55000305175781,739231,25400
2017-08-24,19.617361068725586,80.1500015258789,21.1856632232666,80.1500015258789,21.336566925048828,80.31999969482422,21.126380920410156,80.05999755859375,21.1856632232666,80.27999877929688,948717,13800
2017-08-25,19.7221622467041,80.44000244140625,21.29884147644043,80.44000244140625,21.374292373657227,80.73999786376953,21.212610244750977,80.26000213623047,21.255725860595703,80.43000030517578,480018,21100
2017-08-28,19.59739875793457,80.62000274658203,21.164106369018555,80.62000274658203,21.358123779296875,80.94999694824219,21.110212326049805,80.55000305175781,21.336566925048828,80.83999633789062,682453,14300
2017-08-29,19.677536010742188,80.3499984741211,21.174884796142578,80.3499984741211,21.23955726623535,80.41000366210938,20.813796997070312,80.19000244140625,20.894638061523438,80.41000366210938,946491,16200
2017-08-30,19.642473220825195,80.18000030517578,21.13715934753418,80.18000030517578,21.250337600708008,80.18000030517578,21.040151596069336,79.87000274658203,21.13176918029785,80.13999938964844,1342825,14200
2017-08-31,19.807754516601562,80.51000213623047,21.31500816345215,80.51000213623047,21.363513946533203,80.56999969482422,21.094045639038086,80.18000030517578,21.20722198486328,80.27999877929688,1594060,18000
2017-09-01,19.69256019592285,80.16000366210938,21.19105339050293,80.16000366210938,21.4766902923584,80.37000274658203,21.088655471801758,80.0199966430664,21.449743270874023,80.33999633789062,1558991,18700
